Punto,Lat,Lon,,
A DIOS LE PIDO  RESTAURANTE BAR,19.42720253,-99.1645885,19.4272-99.1645,1
ACADEMIA MEXICANA DE SOMMELIERS,19.41294789,-99.16564421,19.4129-99.1656,1
ADRENALINE WINGS,19.3481418,-99.01884601,19.3481-99.0188,1
AGUA BENDITA,19.36746988,-99.16213064,19.3674-99.1621,1
AGUAMIEL Y PULQUES,19.20336237,-99.13862258,19.2033-99.1386,1
AJA TORO,19.32452199,-99.26846062,19.3245-99.2684,1
ALAS MICHES,19.31656593,-99.25620916,19.3165-99.2562,1
ALBOA ENTERTEINMENT HALL,19.39657944,-99.1808907,19.3965-99.1808,1
ALIMENTOS Y BEBIDAS EL FRAILE,19.32823818,-99.28030723,19.3282-99.2803,1
ALITAS,19.44700143,-99.12924783,19.4470-99.1292,1
ALITAS ARANZA,19.33614165,-99.03356179,19.3361-99.0335,1
ALITAS SIN NOMBRE,19.42800364,-99.12334063,19.4280-99.1233,1
ALITAS TANOS,19.26964919,-99.15789772,19.2696-99.1578,1
ALITAS Y SNAKS LA ENVIDIOSA,19.29041419,-99.00291902,19.2904-99.0029,1
ALITASY COSTILLAS SIN NOMBRE,19.46978612,-99.11132903,19.4697-99.1113,1
ALZONA 19 PULQUES,19.35919441,-99.01807214,19.3591-99.0180,1
ANTOJERIA MI GALLO,19.42494247,-99.15506813,19.4249-99.1550,1
ANTOJITOS,19.33657667,-99.01023814,19.3365-99.0102,1
ANTOJITOS MEXICANOS,19.32574896,-99.17333863,19.3257-99.1733,1
ANTOJITOS Y COKTELERIA,19.34499477,-99.00982658,19.3449-99.0098,1
ANTRO- BAR  LA J,19.43707112,-99.1377635,19.4370-99.1377,1
ANTULL,19.40882908,-99.17659359,19.4088-99.1765,1
APOYO ECONOMICO FAMILIAR S.A. DE C.V.,19.31614404,-99.07266363,19.3161-99.0726,1
ARTEMISA,19.42071303,-99.16336235,19.4207-99.1633,1
ARTESANAL MEXICANO LA FUNDIDORA,19.40513273,-99.1302458,19.4051-99.1302,1
ARTIC BAR,19.41282707,-99.17190686,19.4128-99.1719,1
ASADO BRAZIL,19.4353423,-99.17051631,19.4353-99.1705,1
ATARDECER RANCHERO,19.40239454,-99.14553657,19.4023-99.1455,1
AZ DE OROS,19.44093139,-99.15065601,19.4409-99.1506,1
B.WING,19.36814663,-99.14160141,19.3681-99.1416,1
BALAGAN,19.42701254,-99.13628914,19.4270-99.1362,1
BALTRA BAR,19.40950232,-99.16884421,19.4095-99.1688,1
BAR,19.39338604,-99.07366923,19.3933-99.0736,1
BAR 3ER MILENIO VIP,19.29602202,-99.13314667,19.2960-99.1331,1
BAR ACAPULCO,19.42791389,-99.10795645,19.4279-99.1079,1
BAR ANGEL DE LA NOCHE,19.35180097,-99.02436174,19.3518-99.0243,1
BAR ANTONIO,19.39585441,-99.16687898,19.3958-99.1668,1
BAR ASHA,19.33877905,-99.1895547,19.3387-99.1895,1
BAR BARRA INDEPENDENCIA,19.43323543,-99.14438691,19.4332-99.1443,1
BAR BERLIN,19.37528602,-99.17922927,19.3752-99.1792,1
BAR BLACK PEARL,19.36625605,-99.18123162,19.3662-99.1812,1
BAR BORA BORA BISTRO,19.46153798,-99.12829663,19.4615-99.1282,1
BAR CAN CAN,19.42014019,-99.16493185,19.4201-99.1649,1
BAR CARAPOS,19.44088021,-99.13803721,19.4408-99.1380,1
BAR CENIT,19.4373732,-99.13805804,19.4373-99.1380,1
BAR CHAPULTEPEC,19.43749486,-99.14794537,19.4374-99.1479,1
BAR CHUPACHELAS,19.43495469,-99.15760736,19.4349-99.1576,1
BAR CLUB,19.46701223,-99.12436274,19.4670-99.1243,1
BAR COCTEL BAR AND GRILL,19.42675469,-99.16639201,19.4267-99.1663,1
BAR DE MICHELADAS EL RETEN,19.22894114,-99.11645651,19.2289-99.1164,1
BAR DUSK,19.39069927,-99.17858589,19.3906-99.1785,1
BAR ECLCETIC,19.38935688,-99.08398051,19.3893-99.0839,1
BAR EL ALMACEN,19.42469432,-99.16655435,19.4246-99.1665,1
BAR EL ATORON,19.41495334,-99.07499728,19.4149-99.0749,1
BAR EL CALAVERA,19.36014653,-99.07038815,19.3601-99.0703,1
BAR EL CAPRICHO,19.4255079,-99.12808622,19.4255-99.1280,1
BAR EL CHANGAROCK,19.29554651,-99.07002718,19.2955-99.0700,1
BAR EL DEPOSITO,19.38733426,-99.15397259,19.3873-99.1539,1
BAR EL DESVAN,19.24398032,-99.11208553,19.2439-99.1120,1
BAR EL DIAMANTE,19.42380651,-99.13207983,19.4238-99.1320,1
BAR EL DORADO,19.44182787,-99.13988656,19.4418-99.1398,1
BAR EL GARROBO,19.29010734,-99.22920571,19.2901-99.2292,1
BAR EL GRAN MARQUES,19.44152812,-99.14806396,19.4415-99.1480,1
BAR EL IMPERIAL,19.41666134,-99.16852453,19.4166-99.1685,1
BAR EL JAIBOL,19.29543532,-99.13333259,19.2954-99.1333,1
BAR EL KILOMETRO,19.29192049,-99.04117108,19.2919-99.0411,1
BAR EL LEON LAS PELIGROSAS DEL JEDAY,19.44985565,-99.09929669,19.4498-99.0992,1
BAR EL MARRAQUECH,19.43759337,-99.13888425,19.4375-99.1388,1
