Punto,Lat,Lon
PLAZA CUICUILCO INBURSA,19.29808,-99.18137
PERISUR,19.30415,-99.19005
PARK PLAZA,19.36438,-99.25952
PATIO SANTA FE,19.37716,-99.25439
VIA SAN JUAN,19.39175,-99.04962
METROPOLI PATRIOTISMO,19.396,-99.18103
CENTRO CULTURAL TELMEX,19.42474,-99.15439
Chedraui/Costco Polanco,19.44137,-99.20636
TENAYUCA,19.52945,-99.15688
SAMARA SHOPS,19.36773,-99.25853
Grand Pedregal,19.31642,-99.21183
Plaza Chedraui Ajusco,19.29902,-99.21251
Patio Tlalpan,19.28394,-99.1764
Antara Fashion Hall,19.43924,-99.20238
Plaza Carso,19.44168,-99.20379
Plaza Legaria,19.45313,-99.19729
Plaza Azcapotzalco,19.47809,-99.18648
Centro Comercial Patio Clavería,19.46356,-99.18187
Plaza Gran Sur,19.30579,-99.16538
Paseo Acoxpa,19.29917,-99.13659
PLAZA MARKET PLACE,19.28996,-99.13137
Plaza Pabellón Cuemanco,19.29539,-99.10803
Galerías Coapa,19.30251,-99.12331
Plaza Ermita,19.3476,-99.01796
Portal Lomas Estrella,19.32119,-99.09418
Súper Plaza Miramontes,19.30941,-99.12456
Plaza Zapamundi,19.32175,-99.13197
"Town Center, El Rosario",19.50319,-99.2033
Plaza Central Iztapalapa,19.37744,-99.0959
Plaza Tepeyac,19.47142,-99.11913
Parque Vía Vallejo,19.4873,-99.15262
Parque Lindavista,19.48597,-99.13084
Plaza Torres Lindavista,19.50591,-99.1445
Atana Lindavista,19.5162,-99.1422
Encuentro Fortuna,19.48358,-99.13323
Plaza Misterios,19.46204,-99.12706
Plaza Aeropuerto,19.42121,-99.0966
Parque Delta,19.40314,-99.15415
World Trade Center Ciudad de México,19.39366,-99.17459
Cinemex San Antonio,19.38904,-99.19163
Galerías Insurgentes,19.37107,-99.17879
Torre Manacar,19.36883,-99.1812
City Shops del Valle,19.37296,-99.17283
Portal San Ángel,19.36126,-99.18983
Pabellón Polanco,19.43759,-99.20737
Miyana Comercial,19.43954,-99.1999
Reforma 222,19.42859,-99.16158
Plaza Insurgentes,19.41236,-99.16552
Pabellón Cuauhtémoc,19.41129,-99.15564
Forum Buenavista,19.44752,-99.15177
Portal Centro,19.41912,-99.13013
Galerías Plaza de las Estrellas,19.43613,-99.17143
Plaza Loreto,19.3393,-99.19352
Portal Churubusco,19.36861,-99.12212
Oasis Coyoacán,19.34571,-99.17929
Pabellón Altavista,19.34883,-99.1902
Plaza Universidad,19.36728,-99.16607
Patio Universidad,19.36556,-99.16702
Centro Coyoacán,19.35979,-99.17006
Parque Duraznos,19.40247,-99.24283
Paseo Arcos Bosques,19.38708,-99.2515
Pabellon Bosques,19.38281,-99.26836
Centro Comercial Santa Fe,19.3611,-99.27359
Garden Santa Fe,19.3652,-99.26463
Zentrika Santa Fe,19.35944,-99.27509
Artz Pedregal,19.31412,-99.22026
Toreo Parque Central,19.45482,-99.21914
Centro Comercial Patio Pedregal,19.3031,-99.17279
Patio Revolución,19.34179,-99.19152
Parque Tezontle,19.38401,-99.08266
Ferrioni Outlet Lindavista,19.49151,-99.13371
Plaza Oriente,19.48448,-99.09354
Zentralia Churubusco,19.37924,-99.10223
Parque Las Antenas,19.31471,-99.07746
Pabellón del Valle,19.37326,-99.16228
Av. Altavista 147,19.34961,-99.1965
