Sitio,Lat,Lon
L1 - El Caminero,19.27939,-99.16917
L1 - La Joya,19.28038845,-99.17005115
L1 - Santa Ursula,19.2833277,-99.1753475
L1 - Fuentes Brotantes,19.2881201,-99.1745919
L1 - Ayuntamiento,19.2925888,-99.1775679
L1 - Corregidora,19.29415,-99.18125
L1 - Villa Olimpica,19.2991083,-99.1855283
L1 - Perisur,19.3040833,-99.1861186
L1 - Doctor Galvez,19.3408206,-99.1899988
L1 - La Bombilla,19.3468059,-99.1877427
L1 - Altavista,19.3508802,-99.1863723
L1 - Olivo,19.3544984,-99.18521
L1 - Francia,19.3584258,-99.1839387
L1 - Jose Ma Velasco,19.3617097,-99.1828811
L1 - Teatro Insurgentes,19.3648693,-99.1818519
L1 - Rio Churubusco,19.3687329,-99.1805947
L1 - Felix Cuevas,19.3742531,-99.1788111
L1 - Parque Hundido,19.3795396,-99.1771046
L1 - Cd De los Deportes,19.3824694,-99.1761449
L1 - Col Del Valle,19.3856882,-99.1751093
L1 - Napoles,19.3897214,-99.1737947
L1 - Poliforum,19.393623,-99.172459
L1 - La Piedad,19.397873,-99.171301
L1 - Nuevo Leon,19.40187,-99.169959
L1 - Chilpancingo,19.406485,-99.1685
L1 - Campeche,19.409693,-99.167318
L1 - Sonora,19.413143,-99.166245
L1 - Alvaro Obregon,19.416867,-99.164853
L1 - Durango,19.419902,-99.164037
L1 - Glorieta Ins N,19.424106,-99.163257
L1 - Glorieta Ins S,19.423373,-99.162408
L1 - Hamburgo,19.427805,-99.161056
L1 - Reforma,19.433066,-99.158803
L1 - Plaza de la Republica,19.436152,-99.157224
L1 - Revolucion,19.440411,-99.15554
L1 - El Chopo,19.443102,-99.154596
L1 - Buenavista,19.446957,-99.153029
L1 - Manuel Gonzalez,19.456881,-99.149156
L1 - San Simon,19.459663,-99.146515
L1 - Circuito,19.462445,-99.144039
L1 - La Raza,19.468838,-99.138803
L1 - Potrero,19.476616,-99.132473
L1 - Euzkaro,19.482473,-99.127741
L1 - Dptvo 18 de Marzo,19.486367,-99.12433
L2 - Tacubaya,19.40184,-99.186751
L2 - Antonio Maceo,19.404936,-99.185863
L2 - Parque Lira,19.407742,-99.189374
L2 - De la Salle,19.407659,-99.183747
L2 - Patriotismo,19.405587,-99.177583
L2 - Escandon,19.4044,-99.173973
L2 - Nuevo Leon,19.40355,-99.169625
L2 - Viaducto,19.401443,-99.168147
L2 - Amores,19.396929,-99.164116
L2 - Etiopia,19.395869,-99.155688
L2 - Dr Vertiz,19.395545,-99.151352
L2 - Centro SCOP,19.395209,-99.146416
L2 - Alamos,19.394604,-99.142556
L2 - Xola,19.39424,-99.139992
L2 - Las Americas,19.393481,-99.134842
L2 - Molina Enriquez,19.397833,-99.129145
L2 - La Viga,19.398055,-99.124103
L2 - Coyuya,19.398268,-99.117022
L2 - Canela,19.397827,-99.109455
L2 - Tlacotal,19.397195,-99.103526
L2 - Goma,19.396869,-99.099477
L2 - Iztacalco,19.396507,-99.096111
L2 - UPIICSA,19.393916,-99.090382
L2 - El Rodeo,19.391872,-99.087464
L2 - Rio Tecolutla,19.388917,-99.083011
L2 - Rio Mayo,19.387105,-99.080265
L2 - Rojo Gomez,19.384221,-99.07608
L2 - Rio Frio,19.387561,-99.074141
L2 - Del Moral,19.384201,-99.070882
L2 - Leyes de Reforma,19.383401,-99.065931
L2 - CCH Oriente,19.382844,-99.060695
L2 - Const de Apatzingan,19.38921,-99.059869
L2 - Canal de San Juan,19.396456,-99.056017
L2 - Gral Nicolas Bravo,19.393724,-99.051307
L2 - Gral A de Leon,19.384929,-99.051758
L2 - Tepalcates,19.390708,-99.047413
L3 - Tenayuca,19.529635,-99.170011
L3 - San Jose de la Escalera,19.522916,-99.165725
L3 - Progreso Nacional,19.519083,-99.16352
L3 - Tres Anegas,19.515134,-99.16182
L3 - Jupiter,19.508324,-99.159143
L3 - La Patera,19.503313,-99.157164
L3 - Poniente 146,19.499525,-99.15572
L3 - Montevideo,19.49548,-99.154197
L3 - Poniente 134,19.492284,-99.153033
L3 - Poniente 128,19.489118,-99.151783
L3 - Magdalena de las Salinas,19.482726,-99.149412
L3 - Coltongo,19.479327,-99.148167
L3 - Cuitlahuac,19.473673,-99.145979
L3 - Heroe de Nacozari,19.470638,-99.144831
L3 - Hospital La Raza,19.467675,-99.143769
L3 - La Raza,19.467573,-99.140834
L3 - Circuito,19.46337,-99.144171
L3 - Tolnahuac,19.458823,-99.14438
L3 - Tlatelolco,19.455849,-99.145045
L3 - Ricardo Flores Magon,19.451924,-99.145882
L3 - Guerrero,19.445733,-99.147277
L3 - Mina,19.440229,-99.14865
L3 - Hidalgo,19.435939,-99.147191
L3 - Juarez,19.431389,-99.148082
L3 - Balderas,19.427724,-99.148822
L3 - Cuauhtemoc,19.42483,-99.153821
L3 - Jardin Pushkin,19.420378,-99.154168
L3 - Hospital General,19.41434,-99.154645
L3 - Doctor Marquez,19.411372,-99.154851
L3 - Centro Medico,19.406659,-99.155214
L3 - Obrero Mundial,19.40103,-99.155667
L3 - Etiopia-Plaza Espe,19.396456,-99.15601
L4 - Terminal Buenavista,19.444863,-99.152271
L4 - Delegacion Cuauhtemoc,19.442594,-99.152416
L4 - Puente de Alvarado,19.439025,-99.153269
L4 - Plaza de la Republica,19.436804,-99.154138
L4 - Glorieta de Colon,19.434159,-99.153532
L4 - Expo Reforma,19.433364,-99.151011
L4 - Vocacional 5,19.431589,-99.150217
L4 - Juarez,19.431305,-99.148387
L4 - Plaza San Juan,19.430607,-99.143549
L4 - Eje Central,19.430334,-99.141929
L4 - La Merced,19.425447,-99.125948
L4 - Cecilio Robelo,19.425174,-99.11987
L4 - Hospital Balbuena,19.425098,-99.116153
L4 - Eduardo Molina,19.427177,-99.116228
L4 - Moctezuma,19.426894,-99.111979
L4 - Terminal San Lazaro,19.430911,-99.115171
L4 - Archivo General,19.435363,-99.115176
L4 - Morelos,19.435813,-99.119001
L4 - Ferrocarril Cintura,19.436,-99.121614
L4 - Mixcalco,19.436357,-99.123413
L4 - Museo San Carlos,19.438274,-99.150783
L5 - Rio de los Remedios,19.506726,-99.086123
L5 - News Divine,19.500617,-99.088697
L5 - 5 de Mayo,19.497169,-99.090124
L5 - Vasco de Quiroga,19.492193,-99.092249
L5 - El Coyol,19.487601,-99.094169
L5 - Preparatoria 3,19.48395,-99.095778
L5 - San Juan de Aragon,19.480217,-99.097388
L5 - Rio Guadalupe,19.47606,-99.099137
L5 - Talisman,19.471003,-99.101239
L5 - Victoria,19.467472,-99.102752
L5 - Oriente 101,19.46204,-99.105091
L5 - Rio Sta Coleta,19.457781,-99.106797
L5 - Rio Consulado,19.453634,-99.108406
L5 - Canal del Norte,19.449466,-99.110456
